Complexity;Password
373;ide5N{S{gwfV&dzlkvMJ>X
206;#QO(tmML@3Ig<Mr/i
292;V,ibkOx_}Z.)(s#
337;pw\WiZQ]YW2pe&lj_N<&n7
214;bc$#U7&}toh
234;o9\C!7^v~F}!j
254;oZT&%pC\V^cxNS
333;L<f.<ty78)#_?czofGr
280;]LKhkTw56fF1%M^*R>QiR_
90;WE<S@
235;[]5L@nPFNcdFWi
99;]iy7qm
207;NI4rq#Uknn1n)*<VvP
356;\Zqmxk8dx!H,HDc.rS.qv?g
195;8~fP^,7V^T4
155;C#m6]z$OM
132;01im{Gm?7TM1
238;dOK[SA,N&nZCJ[i,5ao^~
176;*db**8u/IO~X\.
280;\WD\,&BDqnVHOrMrW{onV
219;)02Iz%D5?I<yph.a
312;(7$)l>sJqIDmi]X7(30r4(8RL.Z
175;~W[#fM21bb%a8
73;0X2vG
418;uJ!t68?!pw?b_{fn8PWEMQr6N*kd
54;*HZ
282;[&j.<~\yhRQ^atf[c*y[kaxF
324;jPK*V9>%hoxAM}4A_j0QJ@GfC
452;_9%]\D?UpLdXMNnQtJgokf~c5q
58;{wH
328;TD$S%R^n1(Y%qy@AfD\W5cwre<c_d
195;UT]^!E?!hq5
205;s2JEBHZRjV0uinY
327;u}Ka(X/fe@ZwQ6L6YWoEZw(>_vbc
393;q6ttR._(H!VeP}<mS\o$GVg
353;dEvQ?zMdY#4b.sj,i>Fm
273;9m~G5cl_}U\SLv)
294;DppUJ&*iLoQowt,Yx
250;HG65)^KcPD/_GO%d.sT_
250;2K#@<>*dlxAArERCB60
175;%3(Iku_>T
456;$yCstS?lPon_7m].#prQoI$!R~45_
342;th7~i$n^s?oP3V5?a64v0$!eh\710
195;&lRZ6nLpW$zJ
256;zSCC^8e(&\%2V@SEe
335;)@!cb}<VR[%)d~reRoHxC
239;{dfzz/ax.bJ>5tN(tBPdj.
224;W8xNG*vVVaU&\&>8>sS/[
195;c!@,UL7ZD^
209;c/Q0F7(TCmm!Dlaq2amD
269;e/F<x_Kc<[Hx..*WaeeE?lF(9
190;6ef]upF&W0J$.Z
311;^/$gseJW]}%hO^1zD,RGh2[^y,
236;qbAVCzpn{NB)q3/W2S>
108;$U)HXY
97;d~OCL
251;sX<wee_EJ*H[!$xx2(FL1
251;!%O4bBa4KvVq&Eb*TIX#g
156;xQ^].mbO
310;)@@.09qtvw5n\X[42tC/)sL_/
293;k7aC#hOp)qtfjNprb8\^>
283;>V}RaGldv$<f&W0C%ww#dT\Rd
66;!_mi
121;1PCM\\L@F[
74;/,c#m^
339;45Lv8h#{[{<$wy!0Ka^%uEl2i2
58;u$S
191;sX#QImtT0tcHfD3
117;j<C~P&1r
352;es!Yvk^{%uD6]jHi<<0fr>X2%?
263;PIjUe5S[VaB48]NqR66
294;ErCaTus{^\1w/5YzkB>7ce
254;X0BUGzEfYta0hKW^Uf&XX@fF
281;fkKQcN%*gj\\S~mO&4\/TO@
147;i8Zo8@_0W8o$6
313;BN6C(afAW&X)?$SYYMB}]NM\..Xr
49;$8p
235;fM$,mKGu9Y>0vdL(da
52;AMEVA
269;./aLY)tBvVuiUJXX(yoJ4)9%t
369;ckN_dRmj@qH73<)^yvRvVu4jW0~,[
58;6nW
250;aum\Uj89q>(GmH,zriNR
115;v]9{~hx
116;&WK,wi4
435;z%yqw@Dg*xErh$~GB.bq>KooLl_
265;xagp*Fs8EJ#4]{p5v#@j^
276;l,LM>ium<~44yu^xRK
131;PO<ibhD,BA
310;E,A&I0WX,ad3Bnw7$V!5M@h!(
337;,H*INVlX%1!r7?%F0B&oj5.@
268;A_NHDheI<@vJ/bD(DE.cNjs?
131;VCVNoOAU5]&
310;jlSY<a[#k@G$9bk@g.zA0!>mP
58;A1z.
340;aW{\SE[OBiqgPvna5O3_QaM.y&$
155;jE<~[>dzj
191;V7[0V0Lq?J/G<_%
191;mB!Jx!B&.GN/D7xE
277;~LVnB0AtQh6.fs@EM?/
49;3ul
215;{jL&RRqer,VP5
54;GR!
264;jaIP,?4}kZm*H<.]]evI
280;mnWC$59NS%4m\^17<]i#1g
136;k\rs~cB
253;P,_l)%rE^uNHJ
204;oJl6[GkCIRTamn
116;fLZzjm?
117;CY}3uJ
190;}wie7a$(X{2@s
136;\vBTPUg
297;XS\U$?]ocZofq/X6/>8_pun($
102;1/UIwRFuI
156;3Ij_DT#q
136;~yHN&rk
160;~Mht,d}Aj7c
58;@0Lv
102;~wb.xL/
358;Hs8S^D{r33HTXHRgw>QyIndf
222;j0Kb8msdK9*9WNEdOSI
297;<S5f{(UNMrSBuT1gVB!#/5[v%
278;G>beKu1ndxjwW/S^aQ%L
66;=@5*b
431;Bi<y{\I3.cg!^Wh$l[VfFp?>
116;<zz80IHKf
278;oZJ(y[}\sM)06,LMf!Ur
66;^4kg
206;%PCoyTovBm3Mi1Q>%
220;vV3oJ/rWNPAgmfW>d
148;f99Vmj7O1TWMwj
334;U5fSKo^mRveG~g6KZ,)R
72;QG~)
156;WG}tb,P8
373;U5#G7Hy?x(E.^R^32.W6nr
315;cL23kznlMjKYxttDuN?Y{jUGW^b1m
300;YxSp^DOkUqkhagP<s~)sBdq}R6OX
312;0{zEz4#.LjR6O6xnXVx\Qba$[Q0
66;by&3
176;Aaq7rvO.A~TiML
313;7cFLi8{~%EyUnJNnyS,]EnN/Td~\
161;dGCyw<ph~oaa
252;a2Q)7&>XqA@vu.aA965s7H
250;M*H@DZ_I50d*L}ceNW/
117;4?LKw9
82;,4>gf
340;_pDX9To<wCu4)RuS0v(R[7QfT2o
295;2p^vv3F~xD((OJ^!<h
161;>^aE2XK[e%0C
191;\F\s/@^Ggu!A8ynn
97;f^~6X
340;iJOJ?ok\H*~B.}q2xh&#(g0#C8Y
310;).[1amm!^9CSn#KB4u?ku<c&\
256;uWi9Qf9]TCyxcW}yB
235;Ifo[H{{<]nM\kAQE1k
238;<NHmYDAlf*#L<qoRTmL*X
253;Okh5qI>l{]p4n
375;Tb~xp%jnz~<~&On!jcU?6wi
146;%mXw$$}1C3b
191;WhrGvaL,A~dUt<D
294;\Gt5AmK(B]QZDWt<h#11y%
342;fMxnE@r!oG2)OSa\!q)87Dpp5SPVj
325;Le?6n3PmH*2r0@^/&7!$Hy#Y&R
161;.9CwOSg@aciC(
259;8~Fk^~c8cOiW4FtUUsT
223;pf.nx4/k\N[EJa#nf]xF
309;0Q!II1L#MK#Ow>bUz]~Ura9F
237;$$1<{7!S^o2{/O]TH4q1
251;htB7?@w*In0//ai.30Tyr
234;Q~>tJc&QLbaS@u(?9
49;3@i
281;/6y~C}a]?jj~%,Bp@{@yDQ0
136;qqvru4R}y
219;84mCHa9&*1K\V6&P
190;PNPw%3V{[a4Eh&
54;NHV
117;>75o~Z
315;&Ul!y#^qOTT^01m&aQCGiM^?cRLS~
206;!J@iqq1m?O#og5N5S
252;)?ogEo/skg%UTsVn9OZ%$J
266;E567%>yO>2aT35tpt/~d<\
207;M4&.X4Dx/{ad#}jJCI
270;]Z@H)\Cw)UVH((nzy~/r{]b(~C
263;LRoaG*rXnB4?IEMKT2_
156;V^N58pwi
135;}E#%5hk%
210;/Y.beN{9km9p}he}ABYbp
161;NqP)t<1HTLm)4
87;vIV4*1Z
238;_V(/d,jKRIb_U4z/vAmdU
326;_hG5at3\dW<~zv&}2I1&z1HnLkl
264;b@59o8Ryj{urs[aN/bk)
40;P_1
325;s3BApsrn[wrGqJt$fH%)ilb6*)
162;.L*\P9MSI\
293;KGwZSLr2eQ6<\nU6
136;tU#Rcd$
298;~4Hwh,?NI548cORZ?#F@07Hni<
282;_lEf0F$]N.Dbwd?n{9vUWxa.
323;I%*.fUm^ExyPv2/oV7?A~jCf
190;/Dx^k[v#&zi5]
316;gN%!H#UwFJfI!gsq&h\z
131;?QVLVuAVH8F
97;SxBC2
95;2wf,Kf
219;i)0xd&6JZrW@(!t
436;9UJ)j#rST})&s!BMZKSoE[E4F$oi
277;>_P}Duv4&K#o@Mil.y1
66;$t,y
101;)0F\dfjh
274;^r#)CYec$tb5_^H&
417;HlJ<8LVrd&~mSkBe[DP$m5H4ek*
175;sS78((kcj$P
377;s!^W5L^cI5,I&]kXFjkDIk{$.
82;g{3?_
102;VY!#1dS
216;LY9\y\[Sf?8)lG
276;ib_g3vZDlMymgMI>)T
234;xY8F]!U1b6esj,P46
219;!MIz*p#0$LtR7&<
222;XBqb<G>_K8)T2baG2?,
296;Sj@DqNV!N7GxgtN2.9uu6e#a
287;sRd?x3n/%_9eV}@dr}I9XEa?AsFFQ
220;ueWE9@QRlHceO/xb4
309;(3!H!E6eJO]Fq}sN4\.PCAmn
161;m_^Sj%{mJb1H@
190;T[W\(GNKN7<sD1
175;c%t6fJqD21.z
341;K6byZyj$Yfk*<?gUP\0#1aY&5w3U
135;QZGR#G(o
240;1g1}HH(qzf!9,IDUuGbdWHF
335;#SXOT[rxn74r9QI3Mj#JW
310;)q]OJ*V0Y@hNLq(E]3]&j<5%U
195;IS9OiF^8ZYR
313;[hGL~ZC~bQ##78*u}J
78;bLk%
97;rUjx]
117;[}Jmh^
155;eiH6~iDYc
239;vUgYCUjVvt54pR4aUK1KZ_
43;x@A
300;ie_w/w_0TB\oy@ZEsK@Gwzz%8e<U
281;Kb_e.9JasJ]CgtljNhkQ[!J
58;FxD
175;bx&8,6mH(
78;}pZS
78;DT]p
454;xs>?mn~2Q((t59S^)&#&rWG)qpbH
148;]#[d(.w$y
264;f(Vx\85FAY}{G[^zA6oN
116;iJa3?AUtR
354;P@qPZZxHamd9?{JfmCi1(uEJ5o\&
281;5<illCqmEXs[74>^1[8Qluw
436;.sc?j[{Jz4<y?dYl,,r?FiWPQg_S
339;14,e7P*12SjymT4G$&zF,q.cWO
377;MM8!K3(\O,YRbR_sInRBh~GbB
321;L/Q0o@_D3*](HJCWYaiux1
95;8RwFW3
297;hXKPowTI*x1L_5IXsE1R&{c*G
160;We2J)/XZR4m
115;ct>,sd<
250;0um*NPs?iE&Y!^*?F}/P
40;I/1
311;4u.kO1Zi?Zl#1$OM@x5#D>RQ\.
255;jytWy5bMbR3Hy%8p
398;b^%^$K.IhdOl)^?FMym7kL[$jcC
276;jSiTCZu,%\qJ&Rz%R[
281;VdW8pXt<da&%j7Nh{n)jzv9
454;5r[IQ,&Df6K@#4gH?O@pL#V99q2f
254;R!YvTNdKiWoYu8
156;tIgPxf?ivX
136;pl5Tc23
333;J&Zd_T~g(Y}rW%cz>JQ
75;D&!Dt
177;OP7/PCljG&8p)P*
298;8b3[J&uWRooKyruvj]iOO
131;y0osRs\Bn%
177;7PT9vGlGaI8muIa9
431;w@8~5)NEp@*g_vZwi]!#9ul>
251;V_v,0FA{KWqD$\0]UwCI$
161;RIW2#jIWqd3/$
280;pc#lz2~a8{s1htzhB_n%_M
267;]~]Xaau,5C~k0XPZYuR1{Eb
293;P9@yGmuF>SE]r8EQ
135;@!IQmMO{
418;xJJ%h\Q&6)CBuvxBvBgfR}fEkq7(
326;0<d.As$M/_5}$U#Fb/j9vNHNupj
281;#53E8eUbq]V)aF/15Q4*I2V
279;#R}[0lX)w!?Wg@QC^xo(/
312;8(m?GX,!V)3]YJdp
354;wze#6y\IkJm,pHX<^\YW~
430;sdx?~<vR^23*5JmPxTH#$Uk
340;pSA[hIXM^R~q(/#[WfqvR62tF?D
175;^a4h!fD~kzSj
281;YCoNCk4xfj[rsh/89}KVnBx
217;$hegubBheY4H~5@
177;SX,~]2A>,ZZ2E\y
214;,S@s2)knfjrl
340;0}!8]qe.XY2[UOx?xZRl5ksSP/Y
78;Ezo]
208;Kn{#D0C~TnK}du7n__B
206;l1$!tbY&r*EOnELL#
284;f.J8nH$/W>HYN0*dZ%p>q^WYQZ
219;flT7vPi>tQ?zR0)&
175;Pi~Ns_L\\)
175;kUO1SD#Ng^N6t
78;SiUx
285;@Qfbncl^lt%EzOz&7xi1QxX7CL,
87;Da#k@i
235;h9yv(MZsRIXOmI
131;1p)%?}[D8
283;*U98BLb,xD4x1VCTU]mO]vsC?
293;GeO)SCz*oh_7WaK$YmPD#
191;m(Lxm<A*ji(r/d.
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
